,0,1
4465,ক্ষুন্ন,kʰunno
4466,বিকাল,bɪkɐl
4467,তিনটায়,t̪ɪntɐe̯
4468,জনমত,ɟɔnmɔt̪o
4469,জরিপে,ɟoɾɪpe
4470,ভোটে,bʱote
4471,ইতালির,ɪt̪ɐlɪɾ
4472,প্রাতিষ্ঠানিক,pɾɐt̪ɪʃtʱɐnɪk
4473,ফাইভ,pʰɐɪ̯v
4474,মুভমেন্টের,muvmenteɾ
4475,অবস্থানই,ɔbost̪ʰɐnɪ
4476,শক্তিশালী,ʃokt̪ɪʃɐlɪ
4477,দাবা,d̪ɐbɐ
4478,দক্ষতাকে,d̪okkʰot̪ɐke
4479,সুপারহিউম্যান,ʃupɐɾohɪ͡u̯mɛn
4480,আখ্যায়িত,ɐkkʰɐʲɪt̪o
4481,নির্মাতা,nɪɾmɐt̪ɐ
4482,ডিপমাইন্ড,dɪpmɐ͡ɪ̯nd
4483,স্মৃতি,sɾɪt̪ɪ
4484,সংরক্ষণের,ʃɔŋɾɔkkʰoneɾ
4485,নিয়েছি,nɪʲecʰɪ
4486,নাইজেরিয়া,nɐɪ̯ɟeɾɪʲɐ
4487,টোগো,togo
4488,মালির,mɐlɪɾ
4489,হৃদয়,ɾɪd̪ɔe̯
4490,ভাড়াটিয়া,bʱɐɽɐtɪʲɐ
4491,চাচা,cɐcɐ
4492,বাদশাকে,bɐd̪ʃɐke
4493,যেগুলো,ɟegulo
4494,পাচ্ছি,pɐccʰɪ
4495,মেট্রোপলিটন,metɾopɔlɪtɔn
4496,ম্যাজিস্ট্রেট,mɛɟɪstɾet
4497,আবদুল্লাহ,ɐbd̪ullɐh
4498,আদেশের,ɐd̪eʃeɾ
4499,ধার্য,d̪ʱɐɾɟo
4500,লেনদেন,lend̪en
4501,উভয়ের,ubʱɔʲeɾ
4502,বচসা,bɔcoʃɐ
4503,র‌্যাব,ɾɛb
4504,কোমর,komoɾ
4505,পিস্তল,pɪst̪ɔl
4506,উঁচিয়ে,ũcɪʲe
4507,কোর্ট,koɾt
4508,ম্যারেজ,mɛɾeɟ
4509,সৈকতে,ʃoɪ̯kɔt̪e
4510,সূর্যাস্তের,ʃuɾɟɐst̪eɾ
4511,মুগ্ধ,mugd̪ʱo
4512,বিভক্তির,bɪbʱokt̪ɪɾ
4513,জনগণও,ɟɔngɔno
4514,বিভক্ত,bɪbʱɔkt̪o
4515,তারই,t̪ɐɾɪ
4516,প্রভাব,pɾobʱɐb
4517,পড়ল,pɔɽlo
4518,স্বজনহারা,ʃɔɟɔnhɐɾɐ
4519,পরিবারটি,poɾɪbɐɾtɪ
4520,ন্যায়বিচার,nɛʲbɪcɐɾ
4521,হতাশাগ্রস্ত,hot̪ɐʃɐgɾost̪o
4522,হাটহাজারী,hɐthɐɟɐɾɪ
4523,জাহেদকে,ɟɐhed̪ke
4524,টুর্নামেন্টে,tuɾnɐmente
4525,ফাইনাল,pʰɐɪ̯nɐl
4526,লক্ষ্য,lokkʰo
4527,উস্তার,ust̪ɐɾ
4528,আড়াল,ɐɽɐl
4529,রাখছেন,ɾɐkʰcʰen
4530,অপহরণের,ɔpohɔɾoneɾ
4531,শঙ্কিত,ʃɔŋkɪt̪o
4532,সেলিব্রেটি,selɪbɾetɪ
4533,সংস্থার,ʃɔŋost̪ʰɐɾ
4534,উপ-পরিচালক,upo-poɾɪcɐlok
4535,পদে,pɔd̪e
4536,শওকত,ʃɔokɔt̪
4537,আহমেদকে,ɐhomed̪ke
4538,কৃতজ্ঞ,kɾɪt̪ɔggo
4539,সবগুলো,ʃɔbgulo
4540,দফা,d̪ɔpʰɐ
4541,বাস্তবায়নের,bɐst̪obɐʲoneɾ
4542,মূলভিত্তি,mulbʱɪt̪t̪ɪ
4543,ধরেছে,d̪ʱoɾecʰe
4544,বিষয়টিকে,bɪʃɔe̯tɪke
4545,প্রায়ই,pɾɐʲɪ
4546,স্বজন,ʃɔɟɔn
4547,ক্লিনিকে,st̪ʰɐnɪʲo
4548,পাঠিয়ে,pɐtʱɪʲe
4549,দরকারি,d̪ɔɾkɐɾɪ
4550,জনতা,ɟɔnot̪ɐ
4551,বাঁশ,bɐ̃ʃ
4552,ঝাড়,ɟʱɐɽ
4553,বৈশাখীর,bo͡ɪ̯ʃɐkʰɪɾ
4554,মৃতদেহ,mɾɪt̪od̪eho
4555,লিজার,lɪɟɐɾ
4556,রবু,ɾobu
4557,যথেষ্ট,ɟɔt̪ʰeʃto
4558,দুর্বল,d̪uɾbɔl
4559,যাত্রায়,ɟɐt̪ɾɐe̯
4560,রাগ,ɾɐg
4561,সেনাসদস্যরা,ʃenɐʃd̪oʃʃoɾɐ
4562,কোনোটা,konotɐ
4563,বিষন্ন,bɪʃɔnno
4564,বংশাল,bɔŋʃɐl
4565,শিখতে,ʃɪkʰt̪e
4566,পারবো,pɐɾbo
4567,অধিদফতরের,od̪ʱɪd̪ɔpʰt̪oɾeɾ
4568,ভুল,bʱul
4569,কারখানায়,kɐɾkʰɐnɐe̯
4570,কারখানা,kɐɾkʰɐnɐ
4571,সুযোগে,ʃuɟoge
4572,আকবর,ɐkbɔɾ
4573,ঢালী,dʱɐlɪ
4574,ভোররাতে,bʱoɾɾɐt̪e
4575,প্রবল,pɾobɔl
4576,জোয়ারে,ɟoʷɐɾe
4577,চাকলা,cɐklɐ
4578,কপোতাক্ষ,kɔpot̪ɐkkʰo
4579,নদের,nɔd̪eɾ
4580,বেড়িবাঁধ,beɽɪbɐ̃d̪ʱ
4581,নদীগর্ভে,nod̪ɪgɔɾbʱe
4582,বিমানবন্দরের,bɪmɐnbɔnd̪oɾeɾ
4583,ব্যাগেজ,bɛgeɟ
4584,কার্গো,kɐɾgeɐ̯
4585,স্ক্যানিং,skɐnɪŋ
4586,চেকিংয়ের,cekɪlɔʲeɾ
4587,বৃদ্ধি,bɾɪd̪d̪ʱɪ
4588,পাবে,pɐbe
4589,সীমিত,ʃɪmɪt̪o
4590,ওভারের,obʱɐɾeɾ
4591,সিরিজ,sɪɾɪɟ
4592,অপরজনের,ɔpɔɾɟɔneɾ
4593,গেছেন,gɛcʰen
4594,পরদিন,pɔɾd̪ɪn
4595,দেড়,d̪eɽ
4596,সিঁধইল,ʃɪ̃d̪ʱɪl
4597,সেলিম,selɪm
4598,নিয়োগপ্রাপ্ত,nɪʲogpɾɐpt̪o
4599,রবীন্দ্র,ɾobɪnd̪ɾo
4600,রেজিস্টার,ɾeɟɪstɐɾ
4601,বাংলা,bɐŋlɐ
4602,একাডেমির,ɛkɐdemɪɾ
4603,মহাপরিচালক,mɔhɐpoɾɪcɐlok
4604,ওহাব,ohɐb
4605,রাবি,ɾɐbɪ
4606,মুহম্মদ,muhɔmmɔd̪
4607,মিজানউদ্দিন,mɪɟɐnud̪d̪ɪn
4608,তালিকা,t̪ɐlɪkɐ
4609,দুইজন,d̪uɪ̯ɟɔn
4610,কয়েকজনকে,kɔʲekɟɔnke
4611,মামলাগুলোর,mɐmolɐguloɾ
4612,অগ্রতি,ɔgɾot̪ɪ
4613,বললেই,bolleɪ̯
4614,লক,lɔk
4615,টাইমে,tɐɪ̯me
4616,শুটিং,ʃutɪŋ
4617,সিডিউল,ʃɪdɪu̯l
4618,নায়িকা,nɐʲɪkɐ
4619,অস্বীকৃতি,ɔʃɪkɾɪt̪ɪ
4620,বাধে,bɐd̪ʱe
4621,দাঁড়িয়েছে,d̪ɐ̃ɽɪʲecʰe
4622,ব্যতিক্রম,bɛt̪ɪkɾom
4623,ইরান,ɪɾɐn
4624,পড়ার,pɔɽɐɾ
4625,অধিদফতরকে,od̪ʱɪd̪ɔpʰt̪oɾke
4626,সাঁওতালদের,ʃɐ̃ut̪ɐld̪eɾ
4627,উচ্ছেদের,uccʰed̪eɾ
4628,জড়িতদের,ɟoɽɪt̪d̪eɾ
4629,নূর,nuɾ
4630,যুবকের,ɟubokeɾ
4631,পরিচয়পত্রের,poɾɪcɔʲpot̪ɾeɾ
4632,স্মার্ট,sɐɾt
4633,কার্ডের,kɐɾdeɾ
4634,স্বাক্ষরে,ʃɐkkʰoɾe
4635,মিল,mɪl
4636,সেমিফাইনালে,ʃemɪpʰɐɪ̯nɐle
4637,হীড,hɪd
4638,ইন্টারন্যাশনাল,ɪntɐɾonnɐʃonɐl
4639,রেসিডেন্সিয়াল,ɾesɪdensɪʲɐl
4640,ঘোষণার,gʱoʃonɐɾ
4641,গণমাধ্যমকে,gɔnomɐd̪d̪ʱomke
4642,সাধ্বী,ʃɐd̪ʱt̪ɪ
4643,প্রতিরোধে,pɾot̪ɪɾod̪ʱe
4644,ক্যালিফোর্নিয়া,kɛlɪfoɾnɪʲɐ
4645,শর্তসাপেক্ষে,ʃɔɾt̪oʃɐpekkʰe
4646,ইউএসটিসি,ɪ͡u̯͡e̯stɪsɪ
4647,কর্তৃপক্ষ,kɔɾt̪ɾɪpokkʰo
4648,জরিমানা,ɟoɾɪmɐnɐ
4649,শেষপর্যন্ত,ʃeʃpɔɾɟont̪o
4650,নির্ধারিত,nɪɾd̪ʱɐɾɪt̪ɔ
4651,দেয়নি,d̪eʲnɪ
4652,হেলাল,helɐl
4653,মালশাপাড়ায়,mɐlʃɐpɐɽɐe̯
4654,হাট,hɐt
4655,এটিই,etɪɪ̯
4656,হোটেলের,hoteleɾ
4657,দর্শন,d̪ɔɾʃon
4658,বদরুজ্জামান,bod̪ɾuɟɟɐmɐn
4659,লাকি,lɐkɪ
4660,ইয়াসিন,ɪʲɐʃɪn
4661,আরাফাত,ɐɾɐpʰɐt̪
4662,সনদের,ʃɔnod̪eɾ
4663,মধ্যেও,mod̪d̪ʱeo̯
4664,জালিয়াতি,ɟɐlɪʲɐt̪ɪ
4665,লাল,lɐl
4666,বসুন্ধরা,boʃund̪ʱoɾɐ
4667,কামরুন্নাহার,kɐmɾunnɐhɐɾ
4668,খানম,kʰɐnom
4669,ক্যাম্পাস,kɛmpɐs
4670,বাদে,bɐd̪e
4671,শাখাগুলোতে,ʃɐkʰɐgulot̪e
4672,অভিভাবকদের,obʱɪbʱɐbokd̪eɾ
4673,বসার,bɔʃɐɾ
4674,জায়গা,ɟɐʲgɐ
4675,ওপারে,opɐɾe
4676,পারলেও,pɐɾleo
4677,মহিউদ্দিন,mohɪu̯d̪d̪ɪn
4678,আগুনে,ɐgune
4679,বাগানের,bɐgɐneɾ
4680,অর্ধশতাধিক,ɔɾd̪ʱoʃɔt̪ɐd̪ʱɪk
4681,পুড়ে,puɽe
4682,মুষ্ঠিযোদ্ধাদের,muʃtʰɪɟod̪d̪ʱɐd̪eɾ
4683,নাক,nɐk
4684,থেবড়ো,t̪ʰebɽo
4685,স্টেশনটির,steʃontɪɾ
4686,সম্প্রচার,ʃɔmpɾocɐɾ
4687,যশোরের,ɟɔʃoɾeɾ
4688,অভয়নগর,ɔbʱɔe̯nɔgoɾ
4689,নওয়াপাড়া,noʷɐpɐɽɐ
4690,শংকরপাশা,ʃɔŋkɔɾpɐʃɐ
4691,মাধ্যমিক,mɐd̪d̪ʱomɪk
4692,লার্নিং,lɐɾnɪŋ
4693,অ্যাসেসমেন্ট,ɛʃeʃɔment
4694,পাইলটিং,pɐ͡ɪ̯ltɪŋ
4695,অভীক্ষা,obʱɪkkʰɐ
4696,স্ত্রীকে,st̪ɾɪke
4697,মামলাও,mɐmlɐo̯
4698,করেন-,kɔɾen-
4699,চলমান,cɔlomɐn
4700,দিল্লির,d̪ɪllɪɾ
4701,বৈমানিক,bo͡ɪ̯mɐnɪk
4702,সিং,ʃɪŋ
4703,গিলের,gɪleɾ
4704,আতিউর,ɐt̪ɪu̯ɾ
4705,চুক্তিতে,cukt̪ɪt̪e
4706,গান্তিওম,gɐnt̪ɪ͡o̯m
4707,ত্রিনিদাদ,t̪ɾɪnɪd̪ɐd̪
4708,ওইসব,oɪ̯ʃɔb
4709,যানবাহনের,ɟɐnbɐhɔneɾ
4710,চালকদের,cɐlokd̪eɾ
4711,সংগঠনের,ʃɔŋgɔtʰoneɾ
4712,রশিদও,ɾɔʃɪd̪o
4713,সুবর্ণা,ʃubɔɾnɐ
4714,মুস্তাফা,must̪ɐpʰɐ
4715,‘দীর্ঘদিন,‘d̪ɪɾgʱod̪ɪn
4716,আসাদের,ɐʃɐd̪eɾ
4717,পিএসজি,pɪesɟɪ
4718,এরই,eɾɪ
4719,সেরাদের,ʃeɾɐd̪eɾ
4720,মামলাসহ,mɐmlɐʃɔho
4721,মিলছে,mɪlcʰe
4722,ভাগ্য,bʱɐggo
4723,সম্পূর্ণ,ʃɔmpuɾno
4724,খাটাল,kʰɐtɐl
4725,নবায়নের,nɔbɐʲoneɾ
4726,উপজেলা-জেলা,upoɟelɐ-ɟelɐ
4727,প্রশাসন,pɾoʃɐʃon
4728,এমনকি,ɛmonkɪ
4729,খোদ,kʰod̪
4730,বিরুদ্ধেও,bɪɾud̪d̪ʱeo̯
4731,নীতিমালা,nɪt̪ɪmɐlɐ
4732,লংঘনের,lɔŋgʱoneɾ
4733,আমগাঁও,ɐmgɐ̃o
4734,বড়গাঁও,bɔɽgɐ̃o
4735,উপবৃত্তির,upobɾɪt̪t̪ɪɾ
4736,বার্নিকাট,bɐɾnɪkɐt
4737,দমনের,d̪ɔmoneɾ
4738,কট্টরপন্থীগোষ্ঠীর,kɔttoɾpont̪ʰɪgoʃtʰɪɾ
4739,উন্মেষ,unmeʃ
4740,যাদের,ɟɐd̪eɾ
4741,ট্র্যাক,tɾɐk
4742,ট্রেনের,tɾeneɾ
4743,পা,pɐ
4744,কাটা,kɐtɐ
4745,দেখতাম,d̪ekʰt̪ɐm
4746,কুলায়,kulɐe̯
4747,ঝেড়ে,ɟʱeɽe
4748,খুদ,kʰud̪
4749,স্কুলশিক্ষক,skulʃɪkkʰɔk
4750,পরমেশ্বর,poɾmeʃʃɔɾ
4751,সেঙ্গুলীসহ,ʃeŋgulɪʃɔho
4752,প্রাণ,pɾɐn
4753,গোদাভারি,god̪ɐbʱɐɾɪ
4754,মারুফ,mɐɾupʰ
4755,মনোনীত,mononɪt̪o
4756,হই,hoɪ̯
4757,পৃষ্ঠপোষকতা,pɾɪʃtʰopoʃokɔt̪ɐ
4758,ওয়ালটন,oʷɐltɔn
4759,জনপ্রশাসন,ɟɔnopɾoʃɐʃon
4760,প্রজ্ঞাপন,pɾoggɐpon
4761,অসতর্ক,ɔʃot̪ɔɾko
4762,চলাচলে,cɔlɐcɔle
4763,পিছলে,pɪcʰle
4764,কর্দমাক্ত,kɔɾd̪omɐkt̪o
4765,পথচারীরা,pɔt̪ʰocɐɾɪɾɐ
4766,ঠিকাদারের,tʰɪkɐd̪ɐɾeɾ
4767,ক্ষোভের,kʰobʱeɾ
4768,ষড়যন্ত্রকারীরা,ʃɔɽoɟɔnt̪ɾokɐɾɪɾɐ
4769,চোরাগলিতে,coɾɐglɪt̪e
4770,হাঁটছে,hɐ̃tcʰe
4771,‘এমন,‘ɛmon
4772,ক্রিকেটারকে,kɾɪketɐɾke
4773,খুঁজলেই,kʰũɟle͡ɪ̯
4774,কদলগাজী,kɔd̪olgɐɟɪ
4775,কমিউনিটি,kɔmɪu̯nɪtɪ
4776,সেন্টারের,sentɐɾeɾ
4777,বস্তিতে,bost̪ɪt̪e
4778,যশোর-ঝিনাইদহ,ɟɔʃoɾo-ɟʱɪnɐ͡ɪ̯d̪ɔho
4779,শাহেদ,ʃɐhed̪
4780,পৌঁছালে,poũ̯cʰɐle
4781,গতিরোধ,got̪ɪɾod̪ʱ
4782,চিল্লা,cɪllɐ
4783,নিয়ত,nɪʲot̪
4784,করেছিল,koɾecʰɪlo
4785,বাঁধন,bɐ̃d̪ʱon
4786,অভিনয়কে,obʱɪnɔʲke
4787,মরদেহটি,mɔɾd̪ehotɪ
4788,হাসপাতালের,hɐʃpɐt̪ɐleɾ
4789,হিমাগারে,hɪmɐgɐɾe
4790,আলোচিত,ɐlocɪt̪o
4791,সাফাই,sɐpʰɐɪ̯
4792,সুজন,ʃuɟɔn
4793,মালত,mɐlot̪o
4794,ফজিলতুন্নেছা,pʰoɟɪlt̪unnecʰɐ
4795,ইন্দোনেশিয়ার,ɪnd̪oneʃɪʲɐɾ
4796,বৃহত্তম,bɾɪhot̪t̪ɔmo
4797,সুরাবায়াতেও,ʃuɾɐbɐʲɐt̪e͡o̯
4798,নিউইয়র্ক,nɪu̯ɪʲoɾko
4799,টাইমসকে,tɐɪ̯mʃke
4800,কারাজাই,kɐɾɐɟɐ͡ɪ̯
4801,আফগানিস্তানে,ɐfgɐnɪst̪ɐne
4802,যুক্তরাষ্ট্রের,ɟukt̪oɾɐʃtɾeɾ
4803,শক্তিধর,ʃokt̪ɪd̪ʱɔɾ
4804,সনাতনী,ʃɔnɐt̪ɔnɪ
4805,ফেলার,pʰelɐɾ
4806,কুদ্দুছ,kud̪d̪us
4807,বেনামি,benɐmɪ
4808,প্লাটফর্ম,plɐtpʰɔɾm
4809,আলাপে,ɐlɐpe
4810,জড়িয়ে,ɟoɽɪʲe
4811,পড়ত,poɽt̪o
4812,ভর্তির,bʱɔɾt̪ɪɾ
4813,করে-,koɾe-
4814,কখন,kɔkʰon
4815,সার্ভিস,sɐɾbʱɪs
4816,কর্মীদের,kɔɾmɪd̪eɾ
4817,গাফিলতি,gɐpʰɪlot̪ɪ
4818,সহোদরের,ʃɔhod̪ɔɾeɾ
4819,ময়নাতদন্তের,mɔʲnɐt̪d̪ont̪eɾ
4820,ওসমানী,osmɐnɪ
4821,ফেব্রুয়ারিতে,pʰebɾuʷɐɾɪt̪e
4822,বিজ্ঞপ্তি,bɪggopt̪ɪ
4823,নিয়োগ,nɪʲog
4824,শাখারভ,ʃɐkʰɐɾɔbʱ
4825,পেয়েছিলেন,peʲecʰɪlen
4826,ব্লগার,blɔgɐɾ
4827,রাইফ,ɾɐ͡ɪ̯pʰ
4828,বাদাওয়ি,bɐd̪ɐ͡o̯ʷɪ
4829,রহস্যময়,ɾɔhoʃʃomɔe̯
4830,আচরণ,ɐcoɾɔn
4831,মন্তব্য,mɔnt̪obbo
4832,সুনিশ্চিত,ʃunɪʃcɪt̪o
4833,কথাগুলো,kɔt̪ʰɐgulo
4834,বলছিলেন,bolcʰɪlen
4835,সিটি,sɪtɪ
4836,শপিং,ʃɔpɪŋ
4837,মলের,mɔleɾ
4838,দোকানি,d̪okɐnɪ
4839,আরমান,ɐɾmɐn
4840,লালমনিরহাট,lɐlmonɪɾhɐt
4841,লালমনিরহাটের,lɐlmonɪɾhɐteɾ
4842,হাতীবান্ধায়,hɐt̪ɪbɐnd̪ʱɐe̯
4843,পুকুরের,pukuɾeɾ
4844,রিদম,ɾɪd̪ɔm
4845,আটকের,ɐtokeɾ
4846,শিক্ষকদের,ʃɪkkʰɔkd̪eɾ
4847,ইউনেস্কোর,ɪu̯neskoɾ
4848,সুপারিশসমূহ,ʃupɐɾɪʃɔʃɔmuho
4849,আইএলও-ইউনেস্কোর,ɐ͡ɪ̯͡e̯lo-ɪ͡u̯neskoɾ
4850,করাও,kɔɾɐo̯
4851,সপ্তাহে,ʃɔpt̪ɐhe
4852,স্বামীর,ʃɐmɪɾ
4853,মাজিন্দা,mɐɟɪnd̪ɐ
4854,আক্কেলপুরের,ɐkkelpuɾeɾ
4855,রোয়ারি,ɾoʷɐɾɪ
4856,একপেঁচে,ɛkpẽce
4857,শাড়ি,ʃɐɽɪ
4858,পরা,pɔɾɐ
4859,ব্লাউজ,blɐ͡u̯ɟ
4860,দেখাবে,d̪ekʰɐbe
4861,বাইসাইকেল,bɐɪ̯sɐɪ̯kel
4862,জ্বালিয়ে,ɟɐlɪʲe
4863,চিত্রনায়িকা,cɪt̪ɾonɐʲɪkɐ
4864,পরিচিতিও,poɾɪcɪt̪ɪo
4865,পাথর,pɐt̪ʰoɾ
4866,খণ্ডটি,kʰɔndotɪ
4867,কাউন্সিলর,kɐu̯nsɪlɔɾ
4868,আফজাল,ɐfɟɐl
4869,অভাব-অনটন,ɔbʱɐb-ɔnɔton
4870,লেগেই,legeɪː
4871,তোলেন,t̪olen
4872,আনোয়ারুজ্জামান,ɐnoʷɐɾuɟɟɐmɐn
4873,হাসিনা,hɐʃɪnɐ
4874,খুন,kʰun
4875,প্রকাশকসহ,pɾokɐʃokʃɔho
4876,টার্গেট,tɐɾget
4877,কিলিংয়ের,kɪlɪŋʲeɾ
4878,ঘটনাগুলোর,gʱɔtonɐguloɾ
4879,দায়,d̪ɐe̯
4880,আইএসের,ɐɪ̯eseɾ
4881,বিবৃতি,bɪbɾɪt̪ɪ
4882,নিয়েও,nɪʲeo̯
4883,প্রকৃতিও,pɾokɾɪt̪ɪ͡o̯
4884,বিরূপ,bɪɾup
4885,প্রত্যেকটি,pɾot̪t̪ektɪ
4886,পাল্টাপাল্টি,pɐltɐpɐltɪ
4887,আমিরাতে,ɐmɪɾɐt̪e
4888,উড়ে,uɽe
4889,সাহিদার,ʃɐhɪd̪ɐɾ
4890,জঙ্গিরা,ɟɔŋgɪɾɐ
4891,সতেরো,ʃɔt̪eɾo
4892,শতকের,ʃɔt̪okeɾ
4893,হাকিম,hɐkɪm
4894,দেশপ্রেম,d̪eʃpɾem
4895,আত্মোপলব্ধি,ɐt̪t̪nopolɔbd̪ʱɪ
4896,যথার্থই,ɟɔt̪ʰɐɾt̪ʰo͡ɪ̯
4897,বুঝেছিলেন,buɟʱecʰɪlen
4898,মাতৃভাষার,mɐt̪ɾɪbʱɐʃɐɾ
4899,ভালোবাসা-শ্রদ্ধা,bʱɐlobɐʃɐ-sɾod̪d̪ʱɐ
4900,জন্ম-পরিচয়ও,ɟɔnmo-poɾɪcɔʲo
4901,প্রশ্নবিদ্ধ,pɾoʃnobɪd̪d̪ʱo
4902,মায়ের,mɐʲeɾ
4903,অনিল,ɔnɪl
4904,কুমারকে,kumɐɾke
4905,সফটওয়্যার,sɔftɔʲɐɾ
4906,অ্যান্ড্রয়েড,ɛndɾoʲed
4907,আসেনি,ɐʃenɪ
4908,মাথা,mɐt̪ʰɐ
4909,কপালে,kɔpɐle
4910,মানবসম্পদ,mɐnɔbʃɔmpɔd̪
4911,ঘণ্টাব্যাপী,gʱɔntɐbɛpɪ
4912,গোলাগুলির,golɐgulɪɾ
4913,পিছু,pɪcʰu
4914,হটতে,hɔtt̪e
4915,জাম্বুকে,ɟɐmbuke
4916,গুলিবিদ্ধ,gulɪbɪd̪d̪ʱo
4917,আহতরা,ɐhot̪ɔɾɐ
4918,হচ্ছেন-,hoccʰen-
4919,চৌকিদার,cou̯kɪd̪ɐɾ
4920,মাফুজুল,mɐpʰuɟul
4921,মাঈন,mɐɪ̯n
4922,লক্ষ্মণচন্দ্র,lokkʰncond̪ɾo
4923,দাস,d̪ɐʃ
4924,বাশার,bɐʃɐɾ
4925,নুর,nuɾ
4926,করিম,koɾɪm
4927,প্রক্রিয়াতেই,pɾokɾɪʲɐt̪e͡ɪ̯
4928,সর্বনাশ,ʃɔɾbonɐʃ
4929,ডেকে,deke
4930,আনি,ɐnɪ
4931,জিনজিয়াংজুড়ে,ɟɪnɟɪʲɐŋɟuɽe
4932,লোকের,lokeɾ
4933,উপস্থিতিতে,upost̪ʰɪt̪ɪt̪e
4934,সমাবেশের,ʃɔmɐbeʃeɾ
4935,সুবিধা-অসুবিধা,ʃubɪd̪ʱɐ-d̪ʱʃubɪd̪ʱɐ
4936,জটিলতা,ɟotɪlɔt̪ɐ
4937,রোগীর,ɾogɪɾ
4938,জকিগঞ্জ,ɟokɪgɔnɟ
4939,যুবলীগের,ɟubolɪgeɾ
4940,সালাম,sɐlɐm
4941,তিনিও,t̪ɪnɪo̯
4942,চালকের,cɐlokeɾ
4943,মুহূর্তে,muhuɾt̪e
4944,বিদুৎস্পৃষ্টে,bɪd̪ut̪spɾɪʃte
4945,বাকিরা,bɐkɪɾɐ
4946,অরবিন্দ,ɔɾobɪnd̪o
4947,শ্রদ্ধা,sɾod̪d̪ʱɐ
4948,ফুলতলা,pʰult̪ɔlɐ
4949,শ্মশান,ʃɔʃɐn
4950,কৃত্যানুষ্ঠান,kɾɪt̪t̪ɐnuʃtʰɐn
4951,প্রবেশপত্রের,pɾobeʃpot̪ɾeɾ
4952,চেহারার,cehɐɾɐɾ
4953,বেলকুচি,belkucɪ
4954,আনিছুর,ɐnɪsuɾ
4955,অটলের,ɔtleɾ
4956,পটিয়ার,potɪʲɐɾ
4957,ধাউরডাঙ্গা,d̪ʱɐ͡u̯ɾdɐŋgɐ
4958,বিপ্লবের,bɪplɔbeɾ
4959,সামনেই,ʃɐmneɪ̯
4960,পিল-বক্স,pɪl-bokʃo
4961,কেবল,kebol
4962,আসলেই,ɐʃoleɪ̯
4963,অসাধারণ,ɔʃɐd̪ʱɐɾon
4964,খুশি,kʰuʃɪ
4965,কাঠগড়ায়,kɐtʰgɽɐe̯
4966,উপাস্থিত,upɐst̪ʰɪt̪
4967,দণ্ডিত,d̪ɔndɪt̪o
4968,টগরী,tɔgoɾɪ
4969,পুরনো,puɾono
4970,শিশু-কিশোরের,ʃɪʃu-kɪʃoɾeɾ
4971,বাবা-মা,bɐbɐ-mɐ
4972,অভিভাবকের,obʱɪbʱɐbokeɾ
4973,নির্বাচনী,nɪɾbɐconɪ
4974,কেন্দ্রে,kend̪ɾe
4975,বিষয়টিও,bɪʃɔe̯tɪo̯
4976,নিয়মে,nɪʲome
4977,আলোচনার,ɐloconɐɾ
4978,অনেককে,ɔnekke
4979,রয়ে,ɾoʲe
4980,কলহ,kɔloh
4981,উন্নয়নের,unnɔʲoneɾ
4982,রোল,ɾol
4983,স্বীকৃতি,ʃɪkɾɪt̪ɪ
4984,গ্রামে-গঞ্জে,gɾɐme-gɔnɟe
4985,উড়োজাহাজ,uɽoɟɐhɐɟ
4986,পার্কিং,pɐɾkɪŋ
4987,সেটিকে,ʃetɪke
4988,টেকঅফ,tekɔɽ
4989,পুশকার্ড,puʃkɐɾd
4990,স্বরাষ্ট্রমন্ত্রী,ʃɔɾɐʃtɾomɔnt̪ɾɪ
4991,মতিন,mot̪ɪn
4992,শুল্কমুক্ত,ʃulkomukt̪o
4993,কোটায়,kotɐe̯
4994,গাড়িটি,gɐɽɪtɪ
4995,আমদানি,ɐmd̪ɐnɪ
4996,সংবাদমাধ্যম,ʃɔŋbɐd̪mɐd̪d̪ʱom
4997,বাণিজ্যমন্ত্রী,bɐnɪɟɟomɔnt̪ɾɪ
4998,অ্যান,ɛn
4999,লিন্ডেসহ,lɪndesho
5000,হিজাব,hɪɟɐb
5001,পারফরম্যান্সে,pɐɾfɔɾmɛnse
5002,বয়সে,bɔʲoʃe
5003,এসেও,eʃeo̯
5004,ছাড়িয়ে,cʰɐɽɪʲe
5005,যাচ্ছেন,ɟɐccʰen
5006,ম্যানচেস্টার,mɛncestɐɾ
5007,ইউনাইটেডের,ɪu̯nɐɪ̯tedeɾ
5008,সুইডিশ,suɪ̯dɪʃ
5009,স্ট্রাইকার,stɾɐɪ̯kɐɾ
5010,ক্রয়,kɾoe̯
5011,কমিটিকে,kɔmɪtɪke
5012,কেনাকাটা,kenɐkɐtɐ
5013,ব্যবহারকারীর,bɛbohɐɾkɐɾɪɾ
5014,লাইভ,lɐɪ̯bʱ
5015,ইয়াবা,ɪʲɐbɐ
5016,আসক্তদের,ɐʃkt̪od̪eɾ
5017,সিংহভাগই,ʃɪŋhobʱɐgɪ
5018,তরুণ-তরুণী,t̪oɾuno-t̪ɔɾunɪ
5019,চাঁদাবাজিও,cɐ̃d̪ɐbɐɟɪ͡o̯
5020,বাউফল,bɐu̯pʰɔl
5021,জামান,ɟɐmɐn
5022,সার্ভেয়ার,sɐɾveʲɐɾ
5023,পাঠিয়েছি,pɐtʱɪʲecʰɪ
5024,শেরপুরে,ʃeɾpuɾe
